"","Category","RMSE Train _Mean","RMSE Train _SD","R2 Train _Mean","R2 Train _SD","MAE Train _Mean","MAE Train _SD","RMSE Test _Mean","RMSE Test _SD","R2 Test _Mean","R2 Test _SD","MAE Test _Mean","MAE Test _SD"
"1","Metabolomics",16.5170760920386,1.55784118014456,0.168924992346346,0.134504932560384,13.9884506861369,1.33724968850752,16.5484745234155,1.20159346565007,-0.0486925743428066,0.152514466955759,13.8577898074419,1.13848058195923
"2","MSS",18.0266052524103,1.95923413937549,-0.00111618183794925,0.239296917483573,15.3707121602729,1.65103351053019,18.6417650590968,1.03012373839998,-0.328037855562076,0.14584418142584,15.8156224177434,0.950266504164127
"3","Concatenated",16.5093695671549,1.96903423314011,0.161540172663146,0.202724438816502,14.1715171668093,1.96452686182915,16.6075127984207,1.41660662269393,-0.0581540285661514,0.17585740867199,13.8898685308603,1.05689628275773
"4","Averaged Stacked",16.4911330252002,1.59491115315549,0.167251039456683,0.164168772067792,14.4740780662493,1.28717231574177,16.9035572412086,0.708419605037962,-0.0906063033777797,0.091622054312271,14.6318998043354,0.653858402560037
"5","Weighted NNLS",15.6981458480149,1.97434227014787,0.241353411475058,0.185548732775925,13.6901667107478,2.20868166397677,15.5359139929509,0.667035748120017,0.0786585402254341,0.0781518048233555,13.7219342358586,0.927306144608812
"6","Lasso Stacked",15.9719046590595,1.54951529633398,0.220452539310374,0.144802569906984,13.8936574844024,1.33471348979841,16.9235176019909,1.26505739165641,-0.0970862515844324,0.16225401537338,14.5542202419685,1.24148807379068
"7","PLS",15.495389536168,1.67168974874841,0.26401071533861,0.15136324013248,13.2481304188435,1.85184024096125,17.9021772466307,2.04778637432623,-0.236185665337318,0.282884118888216,14.844173959429,1.32522239910093
