"bins","Freq"
"0",0
"[0,0.1]",1
"(0.1,0.2]",34
"(0.2,0.3]",21
"(0.3,0.4]",5
"(0.4,0.5]",4
"(0.5,0.6]",0
"(0.6,0.7]",1
"(0.7,0.8]",1
"(0.8,0.9]",2
"(0.9,1]",2
