"bins","Freq"
"0",0
"[0,0.1]",0
"(0.1,0.2]",4
"(0.2,0.3]",44
"(0.3,0.4]",13
"(0.4,0.5]",2
"(0.5,0.6]",2
"(0.6,0.7]",2
"(0.7,0.8]",0
"(0.8,0.9]",2
"(0.9,1]",2
