"","Category","Kappa Train _Mean","Kappa Train _SD","Aucroc Train _Mean","Aucroc Train _SD","Accuracy Train _Mean","Accuracy Train _SD","Kappa Test _Mean","Kappa Test _SD","Aucroc Test _Mean","Aucroc Test _SD","Accuracy Test _Mean","Accuracy Test _SD"
"1","Metabolomics",0.679131214897689,0.120948221973197,0.93657848324515,0.0470372056664497,0.848309178743961,0.0573713267158302,0.7754031303816,0.093403500371156,0.9650623885918,0.0141291400926746,0.895238095238095,0.0415328268309243
"2","MSS",0.672387867555709,0.171028023649348,0.93379188712522,0.0512899610310574,0.846014492753623,0.0799362734525732,0.818690757351412,0.0492761286552963,0.969340463458111,0.0103982198933112,0.914285714285714,0.0225876975726313
"3","Concatenated",0.659177050649521,0.171169397182996,0.931410934744268,0.0483061690812267,0.83743961352657,0.0813647748909359,0.759871577813447,0.079667415054176,0.96541889483066,0.0167731219551818,0.888095238095238,0.0353725143525724
"4","Averaged Stacked",0.678535356660868,0.138938091377449,0.942469135802469,0.0454896651609463,0.848671497584541,0.0649142752712796,0.818351891629171,0.0647958681330737,0.968983957219251,0.00761646666500505,0.914285714285714,0.0295742382575295
"5","Weighted NNLS",0.687646090928736,0.14617888207095,0.948183421516755,0.0434822172210934,0.857004830917874,0.0628132123436824,0.792506453807693,0.0470155803980898,0.971122994652406,0.00921809205744743,0.902380952380952,0.0212006014180237
"6","Lasso Stacked",0.719575348496054,0.167430813261807,0.948183421516755,0.0451751590722954,0.868719806763285,0.076776632081216,0.834231084570296,0.0524695214244887,0.966844919786096,0.00862273555967759,0.921428571428571,0.0241472644208147
"7","PLS",0.713431981467653,0.143824273979777,0.945537918871252,0.0436808877990637,0.865579710144928,0.065726532280645,0.797220486958758,0.0718192543623741,0.968983957219251,0.00908416592586387,0.904761904761905,0.0321334075300871
