"","Category","Kappa Train _Mean","Kappa Train _SD","Aucroc Train _Mean","Aucroc Train _SD","Accuracy Train _Mean","Accuracy Train _SD","Kappa Test _Mean","Kappa Test _SD","Aucroc Test _Mean","Aucroc Test _SD","Accuracy Test _Mean","Accuracy Test _SD"
"1","Metabolomics",0.640993704054964,0.183722239725061,0.924492945326279,0.0522297873529801,0.822023809523809,0.0912174810372267,0.984997655883732,0.0395946545726747,0.999166666666667,0.0032274861218395,0.992592592592593,0.019548098626361
"2","MSS",0.597736141028643,0.186434773219524,0.874250440917108,0.0815992831119357,0.803690476190476,0.0929767675298058,0.639476958750776,0.104842405187435,0.888333333333333,0.0498808103191522,0.825925925925926,0.0508597453574515
"3","Concatenated",0.667614950291951,0.158921759799043,0.943011463844797,0.0416343477060923,0.838095238095238,0.0764362135115917,0.931443614987919,0.0846292937773578,0.998333333333333,0.00645497224367903,0.966666666666667,0.0409326887562782
"4","Averaged Stacked",0.742150302511431,0.187697978207456,0.962588183421517,0.0449375555353642,0.874880952380952,0.0904317604836864,0.916256085686465,0.126304776030626,0.990833333333333,0.0166815409816902,0.959259259259259,0.0610990849157549
"5","Weighted NNLS",0.822869297869298,0.14796086999578,0.977028218694885,0.0245568889519256,0.91234126984127,0.0734694500871072,0.992592592592593,0.0286887655274624,1,0,0.996296296296296,0.0143443827637312
"6","Lasso Stacked",0.792401281348928,0.143361248209658,0.962566137566138,0.0309888199564148,0.899563492063492,0.0693845384630797,0.885686465433301,0.122183985142051,0.99,0.0158113883008419,0.944444444444444,0.0593913870916499
"7","PLS",0.830070162328227,0.132172364539933,0.969091710758377,0.0321824401388311,0.916507936507936,0.0654643877220337,0.931833098921707,0.0942437695362481,0.9975,0.00968245836551854,0.966666666666667,0.0460043706228236
