"File_Name","Study_Name","Response_Variable","Date","Model","Metabolomics","MSS","Concatenated","Averaged Stacked","Weighted NNLS","Lasso Stacked","PLS"
"nf_yachida_gender_12092024_enet.csv","yachida","gender","12092024","enet",0.68810495092755,0.673206019741709,0.702772552307544,0.733878426205792,0.749739078767212,0.747621295493883,0.748001756697409
"nf_yachida_gender_12092024_rf.csv","yachida","gender","12092024","rf",0.797118299949037,0.660846432236807,0.716381849182361,0.779962259188021,0.81050284289066,0.800243013722437,0.811207283248669
"nf_yachida_gender_12092024_xgb.csv","yachida","gender","12092024","xgb",0.785120679005822,0.683745147358261,0.792398643491413,0.792910035016522,0.809256480170221,0.799958196238131,0.808871674193692
"nf_yachida_healthyvscancer_12092024_enet.csv","yachida","healthyvscancer","12092024","enet",0.646005291005291,0.610701058201058,0.601031746031746,0.634007936507937,0.691005291005291,0.694986772486773,0.703710317460317
"nf_yachida_healthyvscancer_12092024_rf.csv","yachida","healthyvscancer","12092024","rf",0.710843253968254,0.698082010582011,0.708786375661376,0.737757936507937,0.747542989417989,0.748779761904762,0.757493386243386
"nf_yachida_healthyvscancer_12092024_xgb.csv","yachida","healthyvscancer","12092024","xgb",0.685079365079365,0.703571428571429,0.721455026455026,0.718716931216931,0.744305555555556,0.73728835978836,0.742354497354497
"nf_yachida_healthyvsearly_12092024_rf.csv","yachida","healthyvsearly","12092024","rf",0.554074314574315,0.577398268398268,0.564007936507936,0.557957431457431,0.546666666666667,0.582715728715729,0.608409812409812
"nf_yachida_healthyvsearly_12092024_xgb.csv","yachida","healthyvsearly","12092024","xgb",0.578770562770563,0.583616161616162,0.611922077922078,0.582932178932179,0.564487734487734,0.597500721500722,0.621782106782107
"nf_yachida_healthyvsstageI.II_12092024_rf.csv","yachida","healthyvsstageI.II","12092024","rf",0.641847041847042,0.597633477633478,0.613742183742184,0.639396344396344,0.644891774891775,0.670252525252525,0.67039923039923
"nf_yachida_healthyvsstageI.II_12092024_xgb.csv","yachida","healthyvsstageI.II","12092024","xgb",0.664285714285714,0.645810485810486,0.620548340548341,0.672717652717653,0.623265993265993,0.690822510822511,0.691553631553632
"nf_yachida_healthyvsstageIII.IV_12092024_enet.csv","yachida","healthyvsstageIII.IV","12092024","enet",0.698897707231041,0.58962962962963,0.584054232804233,0.701779100529101,0.701406525573192,0.700456349206349,0.716715167548501
"nf_yachida_healthyvsstageIII.IV_12092024_rf.csv","yachida","healthyvsstageIII.IV","12092024","rf",0.688629850088183,0.712156084656085,0.706722883597884,0.734874338624339,0.742971781305115,0.751474867724868,0.768009259259259
"nf_yachida_healthyvsstageIII.IV_12092024_xgb.csv","yachida","healthyvsstageIII.IV","12092024","xgb",0.641827601410935,0.779464285714286,0.764878747795414,0.762885802469136,0.787559523809524,0.794005731922399,0.801194885361552
