"File_Name","Study_Name","Response_Variable","Date","Model","Metabolomics","MSS","Concatenated","Averaged Stacked","Weighted NNLS","Lasso Stacked","PLS"
"yachida_BMI_12092024_rf.csv","yachida","BMI","12092024","rf",3.13018243674812,3.14013286737275,3.12195591541929,3.11328438933039,3.07846720413947,3.07684588820418,3.06140370525851
"yachida_BMI_12092024_xgb.csv","yachida","BMI","12092024","xgb",3.28782849047394,3.25985646990862,3.29173825352414,3.13323822966332,3.03612267684899,3.0908604812559,3.03193515402909
"yachida_BrinkmanIndex_12092024_enet.csv","yachida","BrinkmanIndex","12092024","enet",4.35910769419042,4.3515773373986,4.3515773373986,4.35425161668336,4.26254481691612,4.33403199720161,4.25434990419433
"yachida_BrinkmanIndex_12092024_rf.csv","yachida","BrinkmanIndex","12092024","rf",4.17869287036007,4.1808749745798,4.18767287912098,4.13785837106917,4.00141106116592,4.09445197841237,3.99333526820852
"yachida_BrinkmanIndex_12092024_xgb.csv","yachida","BrinkmanIndex","12092024","xgb",4.22326802216404,4.30034020888623,4.3412381739625,4.07562106156826,4.01384886339257,4.049005232034,4.00645870844126
"yachida_age_12092024_enet.csv","yachida","age","12092024","enet",9.92444348815809,17.8936499281309,21.6223621766553,12.9363269036727,9.38494031479043,9.40306438220205,9.37273048986202
"yachida_age_12092024_rf.csv","yachida","age","12092024","rf",9.75694520626873,9.08120620756229,9.0595617529236,9.24532325281991,8.81916976051284,9.03050747798278,8.86162809934551
"yachida_age_12092024_xgb.csv","yachida","age","12092024","xgb",10.1064831097254,9.56251836853112,9.30584526568383,9.26529128114059,9.17173619871684,9.16899789300713,9.1331502526414
"yachida_alcohol_12092024_enet.csv","yachida","alcohol","12092024","enet",4.16541036676053,4.14001229929169,4.14001229929169,4.15003611027037,4.11281265679052,4.13387633557866,4.09347227229525
"yachida_alcohol_12092024_rf.csv","yachida","alcohol","12092024","rf",4.02770164266065,3.99647032608215,3.97528619688121,3.97633635317261,3.86918896326773,3.94700318393004,3.8731086281577
"yachida_alcohol_12092024_xgb.csv","yachida","alcohol","12092024","xgb",4.20242749866919,4.07417579169803,4.02046955963169,3.96667364671444,3.9096538162204,3.92182680050974,3.91266993802243
