"","Category","RMSE Train _Mean","RMSE Train _SD","R2 Train _Mean","R2 Train _SD","MAE Train _Mean","MAE Train _SD","RMSE Test _Mean","RMSE Test _SD","R2 Test _Mean","R2 Test _SD","MAE Test _Mean","MAE Test _SD"
"1","Metabolomics",3.2527288987944,0.41255200474386,-0.0863763878996762,0.155843456447491,2.53112840293039,0.308708022782737,3.09159112702657,0.148248969185974,-0.188937886838371,0.114484632178988,2.35433399006377,0.120837700078541
"2","MSS",3.28017919207014,0.270850207562212,-0.119337706796459,0.185899890482216,2.557539680484,0.184498408071791,3.03135580889559,0.117775819894611,-0.14221873343513,0.0879932108888083,2.34011578052555,0.102077342387276
"3","Concatenated",3.22667581106684,0.369901942220078,-0.071609592472505,0.145069038622134,2.51103504346416,0.223556752143464,3.01801769215833,0.0892083955371245,-0.131518289842048,0.0672179781308953,2.32039463109689,0.0988206206027718
"4","Averaged Stacked",3.14044539758126,0.321363867663232,-0.014819277707959,0.107550608837717,2.4403574916571,0.221669420972569,2.949585753205,0.0771071392236293,-0.0805950639184105,0.0567056189538939,2.27215321435423,0.0743284228391761
"5","Weighted NNLS",3.01730753826294,0.384119997139724,0.0706068569402565,0.0691917442934483,2.33881123950612,0.249049434962712,2.81577457159963,0.0342454460256649,0.0157175867986056,0.023712294860124,2.15567528839615,0.0244554849021713
"6","Lasso Stacked",3.07754954090846,0.358597465879405,0.0284503694217218,0.102124087164009,2.38511180273659,0.261596358682498,2.98454140303897,0.116629254608848,-0.107229810182043,0.0868408808354235,2.28465774327732,0.100190175269073
"7","PLS",3.00607811474583,0.37752129610789,0.0775971197966367,0.0629187729814754,2.32877457218442,0.24962645961281,2.90455509804989,0.0881952604155481,-0.0480857383284861,0.0640755197219076,2.2101365197039,0.0671169521089395
