"bins","Freq"
"0",0
"[0,0.1]",724
"(0.1,0.2]",892
"(0.2,0.3]",157
"(0.3,0.4]",36
"(0.4,0.5]",8
"(0.5,0.6]",2
"(0.6,0.7]",2
"(0.7,0.8]",2
"(0.8,0.9]",0
"(0.9,1]",0
