"bins","Freq"
"0",21
"[0,0.1]",131
"(0.1,0.2]",57
"(0.2,0.3]",51
"(0.3,0.4]",47
"(0.4,0.5]",73
"(0.5,0.6]",65
"(0.6,0.7]",22
"(0.7,0.8]",3
"(0.8,0.9]",1
"(0.9,1]",0
