"bins","Freq"
"0",6
"[0,0.1]",948
"(0.1,0.2]",865
"(0.2,0.3]",133
"(0.3,0.4]",37
"(0.4,0.5]",8
"(0.5,0.6]",3
"(0.6,0.7]",0
"(0.7,0.8]",2
"(0.8,0.9]",0
"(0.9,1]",0
