"bins","Freq"
"0",15
"[0,0.1]",156
"(0.1,0.2]",76
"(0.2,0.3]",61
"(0.3,0.4]",57
"(0.4,0.5]",60
"(0.5,0.6]",30
"(0.6,0.7]",8
"(0.7,0.8]",1
"(0.8,0.9]",0
"(0.9,1]",1
