"bins","Freq"
"0",11
"[0,0.1]",1567
"(0.1,0.2]",367
"(0.2,0.3]",38
"(0.3,0.4]",7
"(0.4,0.5]",4
"(0.5,0.6]",8
"(0.6,0.7]",4
"(0.7,0.8]",0
"(0.8,0.9]",1
"(0.9,1]",0
