"bins","Freq"
"0",4
"[0,0.1]",26
"(0.1,0.2]",9
"(0.2,0.3]",11
"(0.3,0.4]",7
"(0.4,0.5]",11
"(0.5,0.6]",15
"(0.6,0.7]",25
"(0.7,0.8]",6
"(0.8,0.9]",4
"(0.9,1]",1
