"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0.307511030342748,0.129667516285796,0.110716291206212,0.12562976100078,0.444398173502884,0.222497418906837,0.141942187459499,0.126721923536979,0.169840257750095,0.224047159988748,0.347880990314604,0.134053570333188,0.0625811606822823,0.147043287121696,0.203817219906519,0.193223196555924
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum",0.165469063515139,0.0603087834507506,0.26239079870672,0.280185719551477,0.497426084270338,0.447476398277434,0.15600106980312,0.119144597942699,0.102947373400876,0.241017351039258,0.347796928976377,0.397692342901308,0.113040407079875,0.15822959104872,0.215866921945755,0.23766622879399
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium callitrichos",0.0903141357388643,0.0648212996835824,0.176348143281632,0.0652640896069873,0.31866456161351,0.402884125376207,0.132394710232975,0.0735592044891765,0.0353021467806299,0.0458932083802749,0.351427159849428,0.22422780367491,0.067734540203381,0.198861240554573,0.105486501944011,0.156878858094009
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium cebidarum",0.16767161599545,0.044479119068299,0.0779071031948557,0.0567050926985605,0.510568162789143,0.378665906365805,0.101266209231123,0.0482864459627995,0.0142214597774759,0.13395480455345,0.379038861045044,0.278031854389803,0.0508586977539182,0.137428412804678,0.0680791099604126,0.163144190372721
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium felsineum",0.0380457273581958,0.0499766337111992,0.0940238044631631,0.144589208101789,0.730660351980677,0.30764087559726,0.204133624684861,0.0318683353677749,0.0794154835043914,0.124987330985025,0.369388556115297,0.201031034716926,0.0263723513082374,0.188260598516867,0.118212648117214,0.180573770968592
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium goeldii",0.105041617230062,0.0494636377740052,0.0735782623446321,0.0863302301997264,0.295879954850613,0.297002108856528,0.13897720589865,0.0766637549101827,0.113423576834253,0.0580800195181925,0.467002031240974,0.249862389670438,0.0206390961104993,0.122788691384575,0.0773739500689559,0.148807101792819
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium hapali",0.160325850117158,0.0231237339396562,0.0541286191793875,0.119112252663272,0.239755518847706,0.274144930301674,0.114104495802513,0.0698944967241591,0.055909949429552,0.0538435976726484,0.215927274382764,0.102489952803755,0.0433683497477462,0.200218034954506,0.113530916880025,0.122658531563101
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium imperatoris",0.0952658418873587,0.0925820968808768,0.0588237121606114,0.0958448139937147,0.477173509485461,0.455901130206316,0.0879697517203217,0.117167408315964,0.0541090088016805,0.0931394769421902,0.508120163211602,0.197091360147398,0.108183322853932,0.12396603473567,0.191707205246777,0.183802989105992
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium jacchi",0.136468062474991,0.074274170622408,0.117377702206633,0.15132619752279,0.502828566020663,0.306861212646317,0.0727804892670543,0.0291424155402771,0.069050888766208,0.100592843377033,0.336169269326752,0.28822689089432,0.0855969167766326,0.184818162280873,0.116163931878286,0.171445181306749
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum",0.233830963401305,0.0847646558322243,0.123261333027097,0.167653109283084,0.495281968326566,0.370165082221816,0.238149784865448,0.060567321706507,0.0993619706390157,0.194756441661898,0.399586963296885,0.461438388277271,0.064337942586662,0.173467557942931,0.230583796490952,0.226480485303978
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium minimum",0.0967372126391222,0.0320046708567916,0.0925565220153013,0.087852624782377,0.299235707132967,0.223690410240863,0.0388385015046632,0.0493306917399032,0.058426641036187,0.0324401176554369,0.416240012818766,0.13822475267218,0.0463859886630916,0.0652771729780144,0.106105409571165,0.118889762420455
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium myosotis",0.110651948312603,0.091358708798831,0.0900500570645862,0.119219303894405,0.521152229892638,0.414377634063335,0.158741208581742,0.0623936938908797,0.023210801507388,0.114494781845755,0.566881700312199,0.270538751786387,0.0990172811199609,0.0724028753977072,0.210613482502854,0.195006963931418
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_B",0.0338909476222547,0.052773089491312,0.0862785810313162,0.171112556958968,0.246937694578005,0.195900908032783,0.139632018582274,0.0562201059201723,0.0687782441254406,0.125747655397797,0.455417208322905,0.224784914318569,0.01796145160994,0.154576936728792,0.045695372892775,0.13838051237422
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_C",0.116348136914364,0.0415521420320325,0.101309377140104,0.120328042991447,0.628823324779445,0.418978164424463,0.0683274769514993,0.0620022093695563,0.115558018320349,0.0822747861952703,0.347512597493505,0.482524782959996,0.0424901859973146,0.105343317575706,0.106346379011864,0.189314596143794
