"bins","Freq"
"0",5
"[0,0.1]",5358
"(0.1,0.2]",357
"(0.2,0.3]",37
"(0.3,0.4]",7
"(0.4,0.5]",5
"(0.5,0.6]",4
"(0.6,0.7]",1
"(0.7,0.8]",1
"(0.8,0.9]",0
"(0.9,1]",0
