"bins","Freq"
"0",9
"[0,0.1]",143
"(0.1,0.2]",62
"(0.2,0.3]",60
"(0.3,0.4]",52
"(0.4,0.5]",63
"(0.5,0.6]",48
"(0.6,0.7]",18
"(0.7,0.8]",3
"(0.8,0.9]",1
"(0.9,1]",0
