"bins","Freq"
"0",11
"[0,0.1]",251
"(0.1,0.2]",121
"(0.2,0.3]",52
"(0.3,0.4]",13
"(0.4,0.5]",3
"(0.5,0.6]",3
"(0.6,0.7]",3
"(0.7,0.8]",2
"(0.8,0.9]",1
"(0.9,1]",1
