"bins","Freq"
"0",93
"[0,0.1]",6143
"(0.1,0.2]",54
"(0.2,0.3]",11
"(0.3,0.4]",2
"(0.4,0.5]",3
"(0.5,0.6]",3
"(0.6,0.7]",3
"(0.7,0.8]",1
"(0.8,0.9]",0
"(0.9,1]",0
