"bins","Freq"
"0",4
"[0,0.1]",2200
"(0.1,0.2]",211
"(0.2,0.3]",53
"(0.3,0.4]",22
"(0.4,0.5]",26
"(0.5,0.6]",5
"(0.6,0.7]",2
"(0.7,0.8]",0
"(0.8,0.9]",0
"(0.9,1]",0
