"bins","Freq"
"0",1
"[0,0.1]",2751
"(0.1,0.2]",252
"(0.2,0.3]",62
"(0.3,0.4]",13
"(0.4,0.5]",5
"(0.5,0.6]",0
"(0.6,0.7]",1
"(0.7,0.8]",0
"(0.8,0.9]",0
"(0.9,1]",0
