"bins","Freq"
"0",1517
"[0,0.1]",2329
"(0.1,0.2]",105
"(0.2,0.3]",39
"(0.3,0.4]",26
"(0.4,0.5]",8
"(0.5,0.6]",7
"(0.6,0.7]",2
"(0.7,0.8]",2
"(0.8,0.9]",1
"(0.9,1]",0
