"bins","Freq"
"0",0
"[0,0.1]",1568
"(0.1,0.2]",181
"(0.2,0.3]",37
"(0.3,0.4]",17
"(0.4,0.5]",10
"(0.5,0.6]",1
"(0.6,0.7]",2
"(0.7,0.8]",0
"(0.8,0.9]",0
"(0.9,1]",0
