"bins","Freq"
"0",0
"[0,0.1]",1559
"(0.1,0.2]",422
"(0.2,0.3]",130
"(0.3,0.4]",43
"(0.4,0.5]",13
"(0.5,0.6]",2
"(0.6,0.7]",4
"(0.7,0.8]",1
"(0.8,0.9]",1
"(0.9,1]",0
