"bins","Freq"
"0",0
"[0,0.1]",425
"(0.1,0.2]",692
"(0.2,0.3]",97
"(0.3,0.4]",39
"(0.4,0.5]",11
"(0.5,0.6]",2
"(0.6,0.7]",2
"(0.7,0.8]",0
"(0.8,0.9]",0
"(0.9,1]",0
