"bins","Freq"
"0",0
"[0,0.1]",8506
"(0.1,0.2]",288
"(0.2,0.3]",34
"(0.3,0.4]",9
"(0.4,0.5]",6
"(0.5,0.6]",2
"(0.6,0.7]",2
"(0.7,0.8]",1
"(0.8,0.9]",0
"(0.9,1]",0
