"bins","Freq"
"0",114
"[0,0.1]",508
"(0.1,0.2]",9
"(0.2,0.3]",5
"(0.3,0.4]",1
"(0.4,0.5]",0
"(0.5,0.6]",0
"(0.6,0.7]",0
"(0.7,0.8]",1
"(0.8,0.9]",0
"(0.9,1]",0
