"bins","Freq"
"0",111
"[0,0.1]",235
"(0.1,0.2]",91
"(0.2,0.3]",78
"(0.3,0.4]",75
"(0.4,0.5]",36
"(0.5,0.6]",6
"(0.6,0.7]",3
"(0.7,0.8]",0
"(0.8,0.9]",0
"(0.9,1]",0
