"bins","Freq"
"0",0
"[0,0.1]",456
"(0.1,0.2]",234
"(0.2,0.3]",61
"(0.3,0.4]",13
"(0.4,0.5]",5
"(0.5,0.6]",5
"(0.6,0.7]",0
"(0.7,0.8]",0
"(0.8,0.9]",1
"(0.9,1]",0
