"","Category","RMSE Train _Mean","RMSE Train _SD","R2 Train _Mean","R2 Train _SD","MAE Train _Mean","MAE Train _SD","RMSE Test _Mean","RMSE Test _SD","R2 Test _Mean","R2 Test _SD","MAE Test _Mean","MAE Test _SD"
"1","Metabolomics",0.670388013962204,0.0853647157626462,0.832401627823596,0.0412540057604322,0.502681940602919,0.0577569940457583,0.61950405616702,0.0307057147607228,0.857680322026857,0.0139564768843779,0.487543271319153,0.0325715032257
"2","MSS",1.26165450765432,0.130832445296352,0.411397492978495,0.0946802336498341,0.949361494978959,0.109038813932065,1.12588872927827,0.0702289065391888,0.529296765700192,0.0581628492771816,0.836098084995028,0.051521588166976
"3","Concatenated",0.738015449937571,0.0704195874322011,0.79806682480733,0.0347168018438302,0.540112043541968,0.0464280215010945,0.707582947654188,0.0494292678878307,0.813915478673388,0.0261528393448538,0.526501117097533,0.0427341971772856
"4","Averaged Stacked",0.821453260138711,0.0921246384871271,0.749988955489107,0.0458754472220176,0.643300876472059,0.0779920099158849,0.765908950480994,0.0363249755703496,0.782506103830206,0.0203619820536223,0.592692477752599,0.034172682321852
"5","Weighted NNLS",0.627949091723437,0.0781768407899806,0.853076346508459,0.0339241136452513,0.480453990465212,0.0616491691690242,0.605653811774585,0.0300769473253746,0.863971666370102,0.0134032593927075,0.469538690398012,0.0306294574029943
"6","Lasso Stacked",0.650739704642005,0.0824011712801636,0.842274532638445,0.0372257211530189,0.492484421922589,0.0587167174698793,0.62405970866703,0.0302058079289305,0.855594791825121,0.0138271609257382,0.491805037047632,0.0261701587784527
"7","PLS",0.631117037909111,0.0791328995819194,0.851604998860129,0.034310397885965,0.48452716713951,0.0634527128295656,0.639324999267932,0.0424908767564288,0.848150922708728,0.0202831089196011,0.501472402549683,0.037369560242099
