"","Category","Kappa Train _Mean","Kappa Train _SD","Aucroc Train _Mean","Aucroc Train _SD","Accuracy Train _Mean","Accuracy Train _SD","Kappa Test _Mean","Kappa Test _SD","Aucroc Test _Mean","Aucroc Test _SD","Accuracy Test _Mean","Accuracy Test _SD"
"1","Metabolomics",0.948139247598717,0.0507056901257801,0.999809523809524,0.000737711113563326,0.982478500702368,0.0169670636949318,1,0,1,0,1,0
"2","MSS",0.447131932614165,0.177371722588329,0.899236171236171,0.0530488126998349,0.836887655463049,0.0533823369588167,0.788127601787608,0.042103820109734,0.981876456876457,0.00701223214788808,0.933333333333333,0.0118618141014529
"3","Concatenated",0.708101687111711,0.126428452577997,0.975157287157287,0.0224492262049751,0.908298214958715,0.0394377734137908,0.844943377577204,0.0201765974787673,0.99988344988345,0.000451396660397141,0.949707602339181,0.00617308377674561
"4","Averaged Stacked",0.815548538088725,0.100272585373895,0.995611351611352,0.00819662176154929,0.941667865830678,0.0294089284844841,0.933956451481649,0.0373573851018622,1,0,0.977777777777778,0.0123461675534912
"5","Weighted NNLS",0.976309799236925,0.0375870311677625,0.999636363636364,0.000960888520542175,0.991272141706924,0.0137822946699149,1,0,1,0,1,0
"6","Lasso Stacked",0.920541983690985,0.0692324947495012,0.999809523809524,0.000737711113563326,0.973717065816973,0.0222871369766547,0.996585804132974,0.0132231237336821,1,0,0.998830409356725,0.00452980508328354
"7","PLS",0.975727655380222,0.0382176187712002,0.999636363636364,0.000960888520542175,0.991239935587762,0.0138153955161627,1,0,1,0,1,0
