"","Category","RMSE Train _Mean","RMSE Train _SD","R2 Train _Mean","R2 Train _SD","MAE Train _Mean","MAE Train _SD","RMSE Test _Mean","RMSE Test _SD","R2 Test _Mean","R2 Test _SD","MAE Test _Mean","MAE Test _SD"
"1","Metabolomics",12.9162853727889,1.0003290442668,-0.243712487753571,0.159944782007961,10.5678590143877,0.996727081023495,11.939875585112,0.931386889222346,-0.114543388244004,0.185864882916672,9.66769193682754,0.689943948025053
"2","MSS",11.1306493066806,0.626666005756846,0.0751336868659555,0.114985995194301,8.91688442719952,0.565754392890825,11.2193287932284,0.491455730526649,0.0197232873010265,0.0862332948086634,9.17078753465797,0.51799988370491
"3","Concatenated",10.9018724634203,0.473045212687349,0.114674348054343,0.0740687990509937,8.94823961908617,0.490057144806836,11.045869549612,0.402724545388389,0.0503224984258676,0.0691223168739909,8.93632459584732,0.321290061714782
"4","Averaged Stacked",11.4277594444171,0.662582548273637,0.0279544060330273,0.0889309125241291,9.38087355841091,0.723277549105494,11.0574412785107,0.522049897949542,0.0475334948250796,0.0917709679084397,9.05598020943982,0.423118349625253
"5","Weighted NNLS",10.8819130683868,0.514511327743699,0.118986611116503,0.0646032935848453,8.97507119312307,0.495492772014801,10.8496813645393,0.281005732661169,0.0843201884381401,0.0474704547185988,9.02398820550304,0.271011318561428
"6","Lasso Stacked",10.94199859036,0.568801729949414,0.107876452588598,0.0894877104635106,8.87475098346226,0.545527080115152,11.0506481710795,0.37884499903678,0.0496370629362374,0.0647393646695402,9.04185021910648,0.339133770689255
"7","PLS",10.8379162482212,0.510992265619712,0.126387100556037,0.0592604841804153,8.87148107431971,0.496911211310466,11.0408581131922,0.373125671883922,0.0513495801610096,0.0645177815749099,9.06255990282861,0.303974962740756
